steamid,personaname
76561197960265730,alfred
76561197960265738,Gregori
76561197960265744,ChrisB
76561197960265779,Naltrex****
76561197960265781,Kevin Durden
76561197960265793,hb payne
76561197960265826,p0rt`
76561197960265845,ï½ï½ï½’ï½”ï½‰ï½Žï½‰
76561197960265851,FredK
76561197960265908,Datdrive
76561197960265917,tankster
76561197960265942,Satertek -V-
76561197960266073,infinity
76561197960266309,caple
76561197960266313,Marshy
76561197960266407,[THN] Haven
76561197960266423,dawtips
76561197960266448,HyR
76561197960266501,SoLy
76561197960266563,Der WU
76561197960266845,bgmx[sa]
76561197960266923,Fisken
76561197960266937,.Vigil
76561197960266945,EHOT
76561197960267022,[AfH]Cunni Lingus
76561197960267042,crosskiller
76561197960267079,Jaakko
76561197960267089,TLF[GP]
76561197960267093,ttm
76561197960267102,BB CSPL
76561197960267110,amok
76561197960267161,c0R
76561197960267257,[aDx] XGen
76561197960267330,Only Kitty's <3 (Puggy)
76561197960267331,Biggie
76561197960267344,punisher
76561197960267384,Nikuman
76561197960267510,Burner
76561197960267566,Deenman
76561197960267636,capjo
76561197960267645,-=VSK=-Baerbel
76561197960267680,Lyset
76561197960267685,wbing
76561197960267706,#include <cheat.h>
76561197960267718,Tass
76561197960267757,{R} tHeCh0s3n0n3
76561197960267812,Screw
76561197960267828,aphistic
76561197960267852,[Slarti]korv
76561197960267868,riht
76561197960267934,tobias
76561197960267942,waikawa
76561197960267956,PHoENiX^WoLF
76561197960267981,.Sore
76561197960268000,MauroR
76561197960268093,Voogru
76561197960268171,Elkvixen
76561197960268183,FreeBeak
76561197960268231,effbiai
76561197960268251,xiko
76561197960268272,dglmstr
76561197960268296,Hoshi#1 [Ãœ38]
76561197960268301,[CoFR]Brutus
76561197960268312,Jawbre4ker
76561197960268325,[Û©-PSF-Û©] Verbium
76561197960268339,jones
76561197960268403,marshac
76561197960268442,zenx
76561197960268472,Bluedreams
76561197960268482,complex..
76561197960268504,ZiggyStardust
76561197960268548,AFB-Mauser-
76561197960268562,[E] MagnifiedX
76561197960268564,Zeuslol
76561197960268673,MAXPOWER
76561197960268677,Duck Hunt
76561197960268695,redphive
76561197960268703,crystal.method
76561197960268735,SparkyMeister
76561197960268758,>f7> KorbenD
76561197960268765,B|ackOut
76561197960268798,DarK
76561197960268802,UGS
76561197960268812,-Mermaid Balls-Brombay
76561197960268815,Maynard
76561197960268859,artificial
76561197960268875,FetalDave
76561197960268897,fabiaN
76561197960268900,hsals
76561197960268915,Zapper
76561197960268988,wannadie
76561197960269013,peanut
76561197960269014,miked4o7
76561197960269018,kn0rki
76561197960269021,razor
76561197960269022,kwolfe
76561197960269033,dcs     âˆš
76561197960269044,Jr. Bacon Quicknoob
76561197960269046,deprived[dt]
76561197960269057,Schmiggs
76561197960269064,gringo
76561197960269095,North[DiNk]
76561197960269103,Alienz51
76561197960269113,CmdrRat
76561197960269123,skrote
76561197960269164,tim.kim
76561197960269180,emery?
76561197960269187,Faber
76561197960269198,magnarj
76561197960269207,exige
76561197960269213,zeonic
76561197960269215,dns
76561197960269216,spanko
76561197960269225,FL@ME
76561197960269249,defter
76561197960269258,SpynEs
76561197960269277,tiatus
76561197960269285,Pat
76561197960269290,amphetamarine
76561197960269348,Daeadin
76561197960269363,sXe
76561197960269376,narcissist
76561197960269383,Ge0
76561197960269390,scream.intel xmpL1MAGIC[A]
76561197960269404,sMecKs
76561197960269422,StaticSins
76561197960269424,t8p
76561197960269425,lone
76561197960269440,Masin
76561197960269448,churika
76561197960269450,Thundermx
76561197960269466,hyeng
76561197960269475,Dr. Auf Wiedersehen
76561197960269483,SS88
76561197960269501,â™¥ PanzerKnacker â™¥
76561197960269506,elradon[^]
76561197960269508,Teuvas
76561197960269519,AngryJap
76561197960269527,Jgoose
76561197960269566,asdf
76561197960269572,magguu
76561197960269576,drachen
76561197960269586,astronic
76561197960269587,[PP]Fatty2Hawt
76561197960269592,sandman
76561197960269597,async|ronous
76561197960269598,stunna
76561197960269601,CrmnL
76561197960269603,Fraek
76561197960269607,Rick
76561197960269626,Samizul
76561197960269628,mstarr
76561197960269631,Firehawk
76561197960269636,rasp
76561197960269639,NeMeSiS
76561197960269647,BIG BOB
76561197960269687,Max][m
76561197960269688,MeenMunky
76561197960269691,smash_the_dreams_of_the_indestr
76561197960269693,Rostrax
76561197960269695,RapierX
76561197960269698,TuanDuay
76561197960269711,|W*T*W*E| McMolotov
76561197960269714,duckbear
76561197960269721,AlexTheGreat
76561197960269722,ETHHH
76561197960269740,herbyscrub
76561197960269742,ashkie
76561197960269751,Xmus Jaxon Waxon-Flaxon
76561197960269762,ROTARBIV
76561197960269777,FUCKINGNEAT
76561197960269805,Aldebran
76561197960269819,droogie
76561197960269830,claymaN^
76561197960269843,K9Crunch
76561197960269858,<{K}>HitmanX_
76561197960269866,Inactive_1
76561197960269891,Ron Wild
76561197960269893,Sir Digby Chicken Caesar
76561197960269895,chrisghi
76561197960269901,haesten
76561197960269902,sigpro
76561197960269904,ckd
76561197960269923,CriticalMass
76561197960269934,dewdeur
76561197960269940,DrU
76561197960269945,Necro
76561197960269955,Byo7
76561197960269970,GOUKI
76561197960269972,General Fakevey
76561197960269992,carter
76561197960269994,Secret Agent
76561197960269997,Levar
76561197960270000,SirSpankerOfAss
76561197960270010,aridhol
76561197960270016,^4mgpallday
76561197960270017,DarkTyrian
76561197960270028,Slice
76561197960270033,Darkk
76561197960270034,foOL
76561197960270039,big gay baby
76561197960270043,DesertFox
76561197960270046,nOTRAB +MPD+
76561197960270048,RAMPAGE | IceWater
76561197960270063,"-,..,- Org"
76561197960270066,c1L
76561197960270071,wads
76561197960270089,scrump[HH]
76561197960270095,bonsai-w-
76561197960270101,Shingin
76561197960270107,Gixxer
76561197960270108,Mr Replay
76561197960270121,esm
76561197960270131,dannycampa
76561197960270141,[xtw]starclaws
76561197960270158,Lovo
76561197960270207,Beave
76561197960270212,pooMonger
76561197960270225,[VO]PsychoMantis
76561197960270250,ì¹´ë©”ë¡ 
76561197960270257,brandon.bergerson
76561197960270262,Vulgex
76561197960270268,Alcoholiday
76561197960270273,Jackel
76561197960270283,matthew
76561197960270288,Zeklin
76561197960270289,wabright
76561197960270291,Maagnificent
76561197960270295,xenocide
76561197960270296,Mr Popo
76561197960270305,-=*[BG]Â²=- Snardman
76561197960270307,brink
76561197960270311,koolAid
76561197960270321,DERPINA.ws
76561197960270328,bon1q
76561197960270384,[SpA]Saint K.
76561197960270391,Skydropper
76561197960270402,Zach
76561197960270418,Garettx
76561197960270437,prodigy
76561197960270466,^Uhl
76561197960270476,Jabier
76561197960270493,GameWarrior
76561197960270497,BLinc. Wampler [M]
76561197960270510,Øª deadpooL[st]
76561197960270517,casualty
76561197960270520,Feath
76561197960270523,â€ TF4JCâ€ Dr Creflo A Dollar
76561197960270524,born2expire
76561197960270535,ag3nt187
76561197960270588,wheelow
76561197960270591,TJ
76561197960270594,Archaon
76561197960270598,[FLUFFY] Ron Mexico
76561197960270606,insanityMIKE!!!
76561197960270613,Ð ÏŠÐ¼ <3 PFC <3 Weekend
76561197960270619,notpokey
76561197960270626,Walking-Decoy
76561197960270631,weenus!
76561197960270641,Splat
76561197960270644,fo1k
76561197960270648,hilo
76561197960270649,Foddz
76561197960270655,|DI| SirCheese
76561197960270663,ItstheRoss
76561197960270665,Bhaal
76561197960270687,FaKinSuPa Netboi ï¸»â”³â•ä¸€
76561197960270688,hoho
76561197960270691,Puddle
76561197960270702,iNsAn|tY
76561197960270721,semi
76561197960270722,Subterfuge
76561197960270723,Exec
76561197960270734,cricket
76561197960270735,greg
76561197960270747,speckz
76561197960270763,derelict515
76561197960270771,rulski
76561197960270780,herbaliser
76561197960270801,Sonik887
76561197960270804,ATF_HeHe69 //
76561197960270806,skapning
76561197960270809,JORD
76561197960270817,flink
76561197960270821,Chimaera
76561197960270823,driftÇR
76561197960270843,squad
76561197960270853,whoami?
76561197960270858,frostycakes
76561197960270864,Partierdude
76561197960270867,LethaL
76561197960270872,bruk
76561197960270881,Smooth
76561197960270901,madforpancakes
76561197960270917,kurokaz3
76561197960270928,xLas ãƒ„
76561197960270929,Calisky
76561197960270930,1337H4X | SG7 Sm4sh
76561197960270977,J. Walter Weatherman
76561197960270992,benoit.j.chevalier
76561197960270993,Sintax
76561197960270994,Trance
76561197960271004,travis
76561197960271006,rand0med
76561197960271014,Ciccle - The Yankee Clipper
76561197960271020,Hetoxy
76561197960271021,avarice
76561197960271025,Spam Heaton
76561197960271027,Limit
76561197960271030,Jeffonious
76561197960271043,"(V) (-,,,,,-) (V)zzzzzzzzzzzzz"
76561197960271070,badash
76561197960271072,OMGWTFBBQ-TJ
76561197960271075,RoD
76561197960271076,turbine
76561197960271094,nullmoon
76561197960271099,Taien
76561197960271100,"(>,"")soloconunasorrisamehacefeli"
76561197960271103,[RU]cracky
76561197960271106,Bubba
76561197960271119,zipperface
76561197960271145,KeizerSoze
76561197960271169,Drax
76561197960271173,I AM THEMACHINIST
76561197960271174,JbL
76561197960271182,Po3oBblu'_CJloHuK
76561197960271184,Thadken
76561197960271187,>\ Z*u*R*c*O /<
76561197960271192,CPL CHAMP 04 - Beas
76561197960271217,[GYF]CyberPitz
76561197960271229,the K
76561197960271231,kp
76561197960271268,RAGEF1ST-]X[
76561197960271269,NukePaste
76561197960271290,Brandon St. Randy
76561197960271292,laserbitch
76561197960271297,jining
76561197960271335,PsYuSoFly
76561197960271338,Blitz
76561197960271339,ZiPPy
76561197960271347,Dumâ™¥ck
76561197960271349,lachie
76561197960271359,sirvulcan
76561197960271360,Mr. Dobalina
76561197960271363,z1
76561197960271369,fatr [E]
76561197960271377,flip
76561197960271385,Tonkey
76561197960271393,nismo
76561197960271398,.:|JYD|:.w3rd[drunkedr][DG]
76561197960271406,Shapeshifter
76561197960271412,vaughan
76561197960271434,saM
76561197960271438,drunky
76561197960271443,Stoner
76561197960271457,MexiDan
76561197960271466,carlitocal
76561197960271481,ã‚¢ãƒ³ãƒ‰ãƒ«ãƒ¼ (AndorÅ«)
76561197960271492,kushet
76561197960271495,hirez
76561197960271497,Lord Griffin
76561197960271498,Lucky
76561197960271505,ViRii
76561197960271506,No'vi Clifford
76561197960271508,seyosK
76561197960271543,H][M  ChoppeR
76561197960271558,nAtr0n
76561197960271586,Phunky
76561197960271590,The Man
76561197960271592,King Dro
76561197960271596,Kohnert
76561197960271603,BlkdieMEND
76561197960271605,Destroyer [Team Win]
76561197960271638,Hinochino
76561197960271645,Daedalus7
76561197960271651,opaque
76561197960271658,SyBex-V-
76561197960271661,[EA] OneLetter
76561197960271665,whiskar
76561197960271687,=B52F=|Pizza Mike
76561197960271690,Dark Knight
76561197960271701,YellowJelloFellow
76561197960271720,MG
76561197960271721,[=UGZ=]Talon
76561197960271725,tech9
76561197960271734,nosi
76561197960271748,FEZ
76561197960271760,rupert
76561197960271769,criss/bati
76561197960271776,chex
76561197960271784,invirt
76561197960271788,crms
76561197960271790,Cyjal
76561197960271791,abc
76561197960271801,rushtoy
76561197960271806,beny
76561197960271818,notsoevilbryan
76561197960271821,Hazzard
76561197960271823,Quake
76561197960271841,leGit
76561197960271846,f2b
76561197960271860,Gimpylee
76561197960271868,yucca666
76561197960271898,mbahra
76561197960271901,Zeknichov
76561197960271909,My Team Sucks
76561197960271911,Mordechai
76561197960271920,ForgiveN
76561197960271935,CovFan
76561197960271961,TkC
76561197960271969,[USDN]PlatooN
76561197960271972,[iTg]-HauNt-
76561197960271975,Viper
76561197960271979,Rycyeroc
76561197960271989,CoconutBoy
76561197960271991,manux
76561197960271992,kofloz
76561197960271999,Deyja
76561197960272011,Exodus
76561197960272018,Dogby
76561197960272022,Fiwer
76561197960272026,A_Banker_From_Boston
76561197960272027,budman <WILL>
76561197960272035,Wuffles
76561197960272047,Brainz
76561197960272084,Swarfega
76561197960272088,ruties
76561197960272112,Piston Smashed
76561197960272113,fenre
76561197960272121,denyasaurus
76561197960272123,Smokey
76561197960272125,Cookieman
76561197960272133,TG | FearlessG1
76561197960272147,Brooks
76561197960272149,Havoc{VTX}
76561197960272161,Schemer
76561197960272164,rogerspry
76561197960272172,Phinor
76561197960272177,Kuoushi
76561197960272178,Austin
76561197960272196,Murray
76561197960272199,revile
76561197960272233,Palette Swap
76561197960272245,FatNOde
76561197960272253,p0l1cy
76561197960272256,stugatz
76561197960272283,lokk
76561197960272284,Deadbolt
76561197960272285,kirBBBBB Tino
76561197960272294,steve.coomber
76561197960272295,trepid_jon
76561197960272328,brettskii
76561197960272342,Kreeper
76561197960272344,FuTeKi
76561197960272347,Ikelol
76561197960272352,spaydeRRRR
76561197960272361,gurX
76561197960272379,Dr. Spaceman
76561197960272383,plinko
76561197960272384,rm -rf /
76561197960272389,Raxus
76561197960272403,Ulti
76561197960272407,NickBlasta
76561197960272426,Jackal
76561197960272458,Shotgun Benny
76561197960272470,RIOTMAKER
76561197960272473,tfiws
76561197960272476,Johnny R.
76561197960272486,PUNiSHER
76561197960272499,studz
76561197960272503,Kittenpotpie
76561197960272504,Gay Moon Flies
76561197960272509,[Ì²Ì…Ì²nÌ…Ì²vÌ²Ì…^Ì²Ì…uÌ²Ì…sÌ…Ì²] -> Ï‡Ð·Ð¸Ï„ÑÄ±Ðº
76561197960272512,bsamurai
76561197960272516,scream.intel bl4uuw
76561197960272526,DropSquad
76561197960272535,starhunk
76561197960272541,BrYaN- CRB
76561197960272542,:{D jopok
76561197960272548,Skriptor
76561197960272550,GOLDEN~ACE
76561197960272562,G-ed up from the feet up
76561197960272576,Legacy
76561197960272577,Json_81
76561197960272579,bizzler
76561197960272582,DEADRO$E
76561197960272593,POW_WOW_DANCE
76561197960272597,Kusa
76561197960272615,Joker
76561197960272618,Spokker
76561197960272626,fallout
76561197960272635,Sabert00th
76561197960272638,bashar al'qaddafi
76561197960272639,[CoFR]dermunkee
76561197960272648,aisen
76561197960272655,Dr. Loose Lips
76561197960272664,monook
76561197960272669,ITS MAHVEL BABY
76561197960272674,Tyfon
76561197960272693,mali
76561197960272705,Turboáµ€á´³
76561197960272719,soh
76561197960272722,Adam Are AWESOME
76561197960272727,josh
76561197960272731,|ISP| ~^Juno^~^Goddess^
76561197960272737,GOnaD
76561197960272738,puch!
76561197960272744,Sarmis
76561197960272748,TracerBullet
