gamesid,appName,appType,price,release_Date,rating,requiredAge,is_Multiplayer,steam_appid,average_forever,owners,achievement,ownersNumerical
10,Counter-Strike,game,9.99,2000-11-01 00:00:00,88,0,1,10,17612,"10,000,000 .. 20,000,000",Yes,1500000
20,Team Fortress Classic,game,4.99,1999-04-01 00:00:00,-1,0,1,20,277,"5,000,000 .. 10,000,000",Yes,7500000
30,Day of Defeat,game,4.99,2003-05-01 00:00:00,79,0,1,30,187,"5,000,000 .. 10,000,000",Yes,7500000
40,Deathmatch Classic,game,4.99,2001-06-01 00:00:00,-1,0,1,40,258,"5,000,000 .. 10,000,000",Yes,7500000
50,Half-Life: Opposing Force,game,4.99,1999-11-01 00:00:00,-1,0,1,50,624,"5,000,000 .. 10,000,000",Yes,7500000
60,Ricochet,game,4.99,2000-11-01 00:00:00,-1,0,1,60,175,"5,000,000 .. 10,000,000",Yes,7500000
70,Half-Life,game,9.99,1998-11-08 00:00:00,96,0,1,70,1300,"5,000,000 .. 10,000,000",Yes,7500000
80,Counter-Strike: Condition Zero,game,9.99,2004-03-01 00:00:00,65,0,1,80,427,"10,000,000 .. 20,000,000",Yes,1500000
130,Half-Life: Blue Shift,game,4.99,2001-06-01 00:00:00,71,0,0,130,361,"5,000,000 .. 10,000,000",Yes,7500000
220,Half-Life 2,game,9.99,2004-11-16 00:00:00,96,0,0,220,691,"10,000,000 .. 20,000,000",Yes,1500000
240,Counter-Strike: Source,game,19.99,2004-11-01 00:00:00,88,0,1,240,6842,"10,000,000 .. 20,000,000",Yes,1500000
280,Half-Life: Source,game,9.99,2004-06-01 00:00:00,-1,0,0,280,190,"2,000,000 .. 5,000,000",Yes,3500000
300,Day of Defeat: Source,game,9.99,2010-07-12 00:00:00,80,0,1,300,1356,"5,000,000 .. 10,000,000",Yes,7500000
320,Half-Life 2: Deathmatch,game,4.99,2004-11-01 00:00:00,-1,0,1,320,311,"10,000,000 .. 20,000,000",Yes,1500000
340,Half-Life 2: Lost Coast,game,0.0,2005-10-27 00:00:00,-1,0,0,340,46,"10,000,000 .. 20,000,000",Yes,1500000
360,Half-Life Deathmatch: Source,game,9.99,2006-05-01 00:00:00,-1,0,1,360,102,"5,000,000 .. 10,000,000",Yes,7500000
380,Half-Life 2: Episode One,game,7.99,2006-06-01 00:00:00,87,0,0,380,281,"5,000,000 .. 10,000,000",Yes,7500000
400,Portal,game,9.99,2007-10-10 00:00:00,90,0,0,400,288,"10,000,000 .. 20,000,000",Yes,1500000
420,Half-Life 2: Episode Two,game,7.99,2007-10-10 00:00:00,90,0,0,420,354,"5,000,000 .. 10,000,000",Yes,7500000
440,Team Fortress 2,game,0.0,2007-10-10 00:00:00,92,0,1,440,8495,"20,000,000 .. 50,000,000",Yes,35000000
500,Left 4 Dead,game,19.99,2008-11-17 00:00:00,89,0,1,500,897,"5,000,000 .. 10,000,000",Yes,7500000
550,Left 4 Dead 2,game,19.99,2009-11-16 00:00:00,89,0,1,550,1615,"10,000,000 .. 20,000,000",Yes,1500000
570,Dota 2,game,0.0,2013-07-09 00:00:00,90,0,1,570,23944,"100,000,000 .. 200,000,000",Yes,150000000
620,Portal 2,game,19.99,2011-04-18 00:00:00,95,0,0,620,1102,"10,000,000 .. 20,000,000",Yes,1500000
630,Alien Swarm,game,0.0,2010-07-19 00:00:00,77,0,1,630,371,"2,000,000 .. 5,000,000",Yes,3500000
730,Counter-Strike: Global Offensive,game,14.99,2012-08-21 00:00:00,83,0,1,730,22494,"50,000,000 .. 100,000,000",Yes,75000000
1002,Rag Doll Kung Fu,game,9.99,2005-10-12 00:00:00,69,0,1,1002,0,"20,000 .. 50,000",Yes,35000
1200,Red Orchestra: Ostfront 41-45,game,9.99,2006-03-14 00:00:00,81,0,1,1200,232,"500,000 .. 1,000,000",Yes,750000
1250,Killing Floor,game,19.99,2009-05-14 00:00:00,72,17,1,1250,1328,"2,000,000 .. 5,000,000",Yes,3500000
1300,SiN Episodes: Emergence,game,9.99,2006-05-10 00:00:00,75,0,0,1300,0,"100,000 .. 200,000",Yes,150000
1500,Darwinia,game,9.99,2005-07-14 00:00:00,84,0,0,1500,182,"500,000 .. 1,000,000",Yes,750000
1510,Uplink,game,9.99,2006-08-23 00:00:00,75,0,0,1510,65,"500,000 .. 1,000,000",Yes,750000
1520,DEFCON,game,9.99,2006-09-29 00:00:00,84,0,1,1520,80,"500,000 .. 1,000,000",Yes,750000
1530,Multiwinia,game,9.99,2008-09-19 00:00:00,76,0,1,1530,121,"500,000 .. 1,000,000",Yes,750000
1600,Dangerous Waters,game,14.99,2006-02-07 00:00:00,82,0,1,1600,0,"50,000 .. 100,000",Yes,75000
1610,Space Empires IV Deluxe,game,9.99,2006-02-07 00:00:00,79,0,1,1610,0,"50,000 .. 100,000",Yes,75000
1630,Disciples II: Rise of the Elves ,game,6.49,2006-07-06 00:00:00,80,0,1,1630,0,"100,000 .. 200,000",Yes,150000
1640,Disciples II: Gallean's Return,game,6.49,2006-07-06 00:00:00,84,0,1,1640,9,"100,000 .. 200,000",Yes,150000
1670,Iron Warriors: T - 72 Tank Command ,game,4.99,2006-07-26 00:00:00,56,0,1,1670,0,"20,000 .. 50,000",Yes,35000
1690,Space Empires V,game,14.99,2006-10-16 00:00:00,68,0,1,1690,35,"50,000 .. 100,000",Yes,75000
1700,Arx Fatalis,game,4.99,2007-04-03 00:00:00,77,0,0,1700,11,"100,000 .. 200,000",Yes,150000
1900,Earth 2160,game,4.99,2006-04-01 00:00:00,73,0,1,1900,405,"1,000,000 .. 2,000,000",Yes,150000
1930,Two Worlds Epic Edition,game,9.99,2009-04-30 00:00:00,65,17,1,1930,484,"1,000,000 .. 2,000,000",Yes,150000
2100,Dark Messiah of Might & Magic,game,9.99,2006-10-25 00:00:00,72,17,1,2100,634,"1,000,000 .. 2,000,000",Yes,150000
2200,Quake III Arena,game,19.99,2007-08-03 00:00:00,-1,0,1,2200,123,"200,000 .. 500,000",Yes,250000
2210,Quake IV,game,19.99,2011-08-04 00:00:00,81,17,1,2210,36,"200,000 .. 500,000",Yes,250000
2270,Wolfenstein 3D,game,4.99,2007-08-03 00:00:00,-1,0,0,2270,69,"200,000 .. 500,000",Yes,250000
2280,Ultimate Doom,game,4.99,2007-08-03 00:00:00,-1,0,0,2280,125,"500,000 .. 1,000,000",Yes,750000
2290,Final DOOM,game,4.99,2007-08-03 00:00:00,-1,0,0,2290,120,"200,000 .. 500,000",Yes,250000
2300,DOOM II,game,4.99,2007-08-03 00:00:00,83,0,1,2300,90,"500,000 .. 1,000,000",Yes,750000
2310,QUAKE,game,9.99,2007-08-03 00:00:00,94,0,1,2310,167,"200,000 .. 500,000",Yes,250000
